x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,10,10.9,12,13.1,14.2,15.4,16.7
1,11.7,12.6,13.5,14.7,15.9,17.3,18.9
2,12.7,13.7,14.8,16.1,17.5,19.1,20.9
3,13.2,14.3,15.4,16.7,18.3,20,22
4,13.5,14.6,15.7,17.1,18.6,20.5,22.6
5,13.7,14.7,15.9,17.3,18.8,20.7,22.9
6,13.7,14.8,15.9,17.3,18.9,20.8,23
7,13.7,14.8,15.9,17.3,18.9,20.7,22.9
8,13.7,14.7,15.9,17.2,18.8,20.6,22.8
9,13.7,14.6,15.8,17.1,18.6,20.4,22.5
10,13.6,14.6,15.7,17,18.4,20.2,22.3
11,13.5,14.5,15.6,16.8,18.3,20,22
12,13.4,14.4,15.4,16.7,18.1,19.8,21.8
13,13.4,14.3,15.3,16.5,17.9,19.6,21.6
14,13.3,14.2,15.2,16.4,17.8,19.4,21.3
15,13.2,14.1,15.1,16.3,17.6,19.2,21.1
16,13.1,14,15,16.2,17.5,19.1,21
17,13.1,13.9,14.9,16,17.4,18.9,20.8
18,13,13.8,14.8,15.9,17.3,18.8,20.7
19,12.9,13.8,14.7,15.9,17.2,18.7,20.5
20,12.9,13.7,14.7,15.8,17.1,18.6,20.4
21,12.8,13.7,14.6,15.7,17,18.5,20.3
22,12.8,13.6,14.5,15.6,16.9,18.4,20.2
23,12.7,13.5,14.5,15.6,16.8,18.3,20.1
24,12.9,13.7,14.7,15.8,17,18.6,20.4
27,12.8,13.6,14.5,15.6,16.9,18.4,20.2
30,12.6,13.5,14.4,15.5,16.7,18.2,20.1
33,12.6,13.4,14.3,15.4,16.6,18.1,20
36,12.5,13.3,14.2,15.3,16.5,18.1,19.9
39,12.4,13.2,14.1,15.2,16.5,18,19.9
42,12.4,13.2,14.1,15.2,16.5,18,19.9
45,12.3,13.1,14,15.1,16.4,18,20
48,12.2,13,14,15.1,16.4,18,20
51,12.2,13,13.9,15,16.4,18,20.1
54,12.1,12.9,13.9,15,16.4,18.1,20.2
57,12.1,12.9,13.9,15,16.4,18.1,20.3
60,12,12.9,13.8,15,16.4,18.2,20.5
63,12,12.8,13.8,15,16.4,18.3,20.6
66,11.9,12.8,13.8,15,16.5,18.4,20.8
69,11.9,12.8,13.8,15,16.5,18.4,21
72,11.9,12.7,13.8,15,16.6,18.5,21.2
75,11.9,12.7,13.8,15,16.6,18.6,21.4
78,11.8,12.7,13.8,15,16.6,18.7,21.5
81,11.8,12.7,13.8,15,16.7,18.8,21.7
