x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,10.2,11.1,12.1,13.2,14.4,15.7,17.1
1,11.8,12.9,14,15.1,16.4,17.7,19.2
2,13.1,14.2,15.4,16.7,18.1,19.7,21.4
3,13.6,14.8,16,17.4,19,20.8,22.7
4,13.9,15,16.3,17.8,19.4,21.2,23.3
5,14,15.1,16.4,17.9,19.5,21.4,23.5
6,14.1,15.2,16.4,17.9,19.5,21.4,23.5
7,14.1,15.2,16.4,17.8,19.4,21.3,23.4
8,14.1,15.1,16.3,17.7,19.3,21.1,23.2
9,14,15.1,16.2,17.6,19.1,20.9,23
10,14,15,16.1,17.5,19,20.7,22.8
11,13.9,14.9,16,17.3,18.8,20.5,22.6
12,13.8,14.8,15.9,17.1,18.6,20.3,22.3
13,13.7,14.7,15.7,17,18.4,20.1,22.1
14,13.6,14.6,15.6,16.8,18.3,19.9,21.9
15,13.5,14.5,15.5,16.7,18.1,19.7,21.7
16,13.5,14.4,15.4,16.6,18,19.6,21.5
17,13.4,14.3,15.3,16.5,17.8,19.4,21.4
18,13.3,14.2,15.2,16.4,17.7,19.3,21.2
19,13.3,14.1,15.1,16.3,17.6,19.2,21.1
20,13.2,14.1,15,16.2,17.5,19.1,21
21,13.2,14,15,16.1,17.4,19,20.9
22,13.1,13.9,14.9,16,17.3,18.9,20.8
23,13,13.9,14.8,15.9,17.2,18.8,20.7
24,13.2,14,15,16.1,17.4,19,20.9
27,13.1,13.9,14.8,15.9,17.2,18.8,20.7
30,12.9,13.7,14.7,15.8,17,18.6,20.4
33,12.9,13.6,14.6,15.6,16.9,18.4,20.3
36,12.8,13.6,14.5,15.5,16.8,18.3,20.1
39,12.7,13.5,14.4,15.4,16.7,18.2,20.1
42,12.7,13.4,14.3,15.4,16.6,18.1,20
45,12.6,13.4,14.3,15.3,16.6,18.1,20
48,12.6,13.3,14.2,15.3,16.6,18.1,20.1
51,12.5,13.3,14.2,15.3,16.6,18.2,20.2
54,12.5,13.3,14.2,15.3,16.6,18.2,20.3
57,12.4,13.2,14.1,15.3,16.6,18.3,20.5
60,12.4,13.2,14.1,15.3,16.7,18.4,20.7
63,12.3,13.1,14.1,15.3,16.7,18.6,21
66,12.3,13.1,14.1,15.3,16.8,18.7,21.4
69,12.2,13.1,14.1,15.3,16.9,18.9,21.7
72,12.2,13.1,14.1,15.4,17,19.1,22.1
75,12.2,13,14.1,15.4,17.1,19.3,22.5
78,12.1,13,14.1,15.4,17.2,19.5,22.9
81,12.1,13,14.1,15.4,17.2,19.7,23.3
