x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,30.1,31.4,32.7,33.9,35.2,36.5,37.7
1,32.9,34,35.2,36.3,37.5,38.6,39.8
2,34.9,36,37.1,38.2,39.3,40.4,41.6
3,36.2,37.3,38.4,39.5,40.7,41.8,42.9
4,37.2,38.3,39.4,40.6,41.7,42.9,44.1
5,38,39.2,40.3,41.5,42.6,43.8,45
6,38.8,39.9,41.1,42.2,43.4,44.6,45.9
7,39.4,40.6,41.7,42.9,44.1,45.3,46.6
8,40,41.1,42.3,43.5,44.7,45.9,47.2
9,40.4,41.6,42.8,44,45.2,46.5,47.7
10,40.8,42,43.2,44.4,45.6,46.9,48.2
11,41.2,42.4,43.6,44.8,46,47.3,48.6
12,41.5,42.7,43.9,45.1,46.4,47.6,48.9
13,41.8,42.9,44.2,45.4,46.6,47.9,49.2
14,42,43.2,44.4,45.6,46.9,48.2,49.5
15,42.2,43.4,44.6,45.9,47.1,48.4,49.7
16,42.4,43.6,44.8,46.1,47.3,48.6,50
17,42.6,43.8,45,46.2,47.5,48.8,50.1
18,42.7,43.9,45.2,46.4,47.7,49,50.3
19,42.9,44.1,45.3,46.6,47.9,49.2,50.5
20,43.1,44.3,45.5,46.7,48,49.3,50.7
21,43.2,44.4,45.6,46.9,48.2,49.5,50.9
22,43.4,44.6,45.8,47.1,48.4,49.7,51
23,43.5,44.7,45.9,47.2,48.5,49.8,51.2
24,43.6,44.8,46.1,47.3,48.6,50,51.3
27,43.9,45.1,46.4,47.6,49,50.3,51.7
30,44.2,45.4,46.7,47.9,49.3,50.6,52
33,44.4,45.7,46.9,48.2,49.6,50.9,52.3
36,44.7,45.9,47.2,48.5,49.9,51.2,52.7
