x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,30.4,31.7,33,34.3,35.6,36.9,38.3
1,33.4,34.6,35.8,37,38.2,39.4,40.6
2,35.7,36.8,37.9,39.1,40.2,41.4,42.6
3,37.1,38.2,39.3,40.5,41.6,42.8,44.1
4,38.1,39.3,40.4,41.6,42.8,44,45.3
5,39,40.2,41.3,42.5,43.8,45,46.3
6,39.8,41,42.1,43.4,44.6,45.9,47.2
7,40.5,41.7,42.8,44,45.3,46.6,47.9
8,41.1,42.2,43.4,44.6,45.9,47.2,48.5
9,41.5,42.7,43.9,45.1,46.4,47.7,49
10,41.9,43.1,44.3,45.5,46.8,48.1,49.4
11,42.3,43.4,44.6,45.8,47.1,48.4,49.8
12,42.5,43.7,44.9,46.1,47.4,48.7,50.1
13,42.8,44,45.1,46.4,47.7,49,50.3
14,43,44.2,45.4,46.6,47.9,49.2,50.6
15,43.2,44.4,45.6,46.8,48.1,49.4,50.8
16,43.4,44.6,45.8,47,48.3,49.6,51
17,43.6,44.7,45.9,47.2,48.5,49.8,51.2
18,43.8,44.9,46.1,47.4,48.7,50,51.4
19,43.9,45.1,46.3,47.5,48.8,50.2,51.6
20,44.1,45.3,46.5,47.7,49,50.4,51.7
21,44.3,45.4,46.6,47.9,49.2,50.5,51.9
22,44.4,45.6,46.8,48.1,49.4,50.7,52.1
23,44.6,45.7,47,48.2,49.5,50.9,52.3
24,44.7,45.9,47.1,48.3,49.6,51,52.4
27,45,46.2,47.4,48.7,50,51.3,52.7
30,45.3,46.4,47.7,48.9,50.3,51.6,53
33,45.5,46.7,47.9,49.2,50.5,51.9,53.3
36,45.7,46.8,48.1,49.3,50.7,52.1,53.5
