x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,44.7,46.6,48.4,50.3,52.2,54.1,55.9
1,48.2,50.1,52.1,54.1,56.1,58.1,60
2,51.5,53.5,55.6,57.7,59.8,61.9,63.9
3,54.3,56.4,58.6,60.8,62.9,65.1,67.2
4,56.6,58.8,61,63.3,65.5,67.7,69.9
5,58.5,60.7,63,65.3,67.6,69.9,72.2
6,60.1,62.4,64.7,67.1,69.4,71.7,74.1
7,61.5,63.9,66.3,68.7,71,73.4,75.8
8,62.8,65.3,67.7,70.1,72.5,75,77.4
9,64.1,66.5,69,71.5,73.9,76.4,78.9
10,65.3,67.8,70.3,72.8,75.3,77.8,80.3
11,66.4,68.9,71.5,74,76.6,79.1,81.7
12,67.5,70.1,72.6,75.2,77.8,80.4,83
13,68.5,71.1,73.8,76.4,79,81.7,84.3
14,69.5,72.2,74.9,77.5,80.2,82.9,85.6
15,70.5,73.2,75.9,78.6,81.4,84.1,86.8
16,71.5,74.2,77,79.7,82.5,85.2,88
17,72.4,75.2,78,80.8,83.6,86.4,89.2
18,73.3,76.2,79,81.9,84.7,87.5,90.4
19,74.3,77.1,80,82.9,85.8,88.6,91.5
20,75.1,78.1,81,83.9,86.8,89.7,92.6
21,76,79,81.9,84.9,87.8,90.8,93.7
22,76.9,79.9,82.8,85.8,88.8,91.8,94.8
23,77.7,80.7,83.7,86.8,89.8,92.8,95.9
24,77.8,80.8,83.9,87,90.1,93.1,96.2
27,80,83.2,86.4,89.5,92.7,95.9,99.1
30,82.1,85.3,88.6,91.9,95.2,98.5,101.7
33,84,87.3,90.7,94.1,97.5,100.9,104.2
36,85.8,89.3,92.7,96.2,99.7,103.2,106.6
39,87.5,91.1,94.6,98.2,101.8,105.3,108.9
42,89.1,92.8,96.4,100.1,103.7,107.4,111
45,90.7,94.4,98.2,101.9,105.6,109.4,113.1
48,92.2,96,99.8,103.7,107.5,111.3,115.1
51,93.7,97.6,101.5,105.4,109.3,113.2,117.2
54,95.2,99.2,103.2,107.2,111.2,115.2,119.2
57,96.8,100.8,104.9,109,113.1,117.2,121.2
60,98.3,102.5,106.6,110.8,115,119.1,123.3
63,99.8,104.1,108.3,112.6,116.8,121.1,125.3
66,101.2,105.6,109.9,114.3,118.6,123,127.3
69,102.6,107.1,111.5,115.9,120.4,124.8,129.2
72,104,108.5,113,117.5,122,126.5,131
75,105.3,109.9,114.5,119.1,123.7,128.2,132.8
78,106.6,111.3,115.9,120.6,125.3,129.9,134.6
81,107.9,112.6,117.3,122.1,126.8,131.6,136.3
