x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,45.4,47.3,49.2,51.2,53.1,55,56.9
1,49.1,51.1,53.1,55.1,57.2,59.2,61.2
2,52.6,54.7,56.8,59,61.1,63.2,65.4
3,55.5,57.8,60,62.2,64.4,66.6,68.9
4,58,60.3,62.5,64.8,67.1,69.4,71.7
5,59.9,62.3,64.6,66.9,69.3,71.6,74
6,61.6,64,66.3,68.7,71.1,73.5,75.9
7,63,65.4,67.9,70.3,72.7,75.1,77.6
8,64.3,66.8,69.3,71.7,74.2,76.7,79.1
9,65.5,68,70.5,73.1,75.6,78.1,80.6
10,66.7,69.2,71.8,74.3,76.9,79.4,82
11,67.8,70.3,72.9,75.5,78.1,80.7,83.3
12,68.8,71.4,74.1,76.7,79.3,81.9,84.6
13,69.8,72.5,75.1,77.8,80.5,83.1,85.8
14,70.8,73.5,76.2,78.9,81.6,84.3,87
15,71.7,74.5,77.2,80,82.7,85.5,88.2
16,72.7,75.5,78.2,81,83.8,86.6,89.4
17,73.6,76.4,79.2,82.1,84.9,87.7,90.5
18,74.5,77.4,80.2,83.1,86,88.8,91.7
19,75.4,78.3,81.2,84.1,87,89.9,92.8
20,76.3,79.2,82.2,85.1,88,91,93.9
21,77.1,80.1,83.1,86.1,89.1,92,95
22,78,81,84,87,90.1,93.1,96.1
23,78.8,81.9,84.9,88,91,94.1,97.2
24,78.9,82,85.1,88.2,91.3,94.4,97.5
27,81.2,84.4,87.6,90.8,94,97.2,100.4
30,83.3,86.6,89.9,93.2,96.5,99.8,103.1
33,85.2,88.6,92,95.4,98.8,102.2,105.6
36,87,90.5,94,97.5,101,104.5,108
39,88.6,92.2,95.9,99.5,103.1,106.7,110.3
42,90.3,93.9,97.6,101.3,105,108.7,112.4
45,91.8,95.6,99.4,103.1,106.9,110.7,114.5
48,93.3,97.2,101,104.9,108.8,112.6,116.5
51,94.8,98.8,102.7,106.6,110.6,114.5,118.5
54,96.3,100.3,104.4,108.4,112.4,116.5,120.5
57,97.8,102,106.1,110.2,114.3,118.4,122.5
60,99.4,103.6,107.8,112,116.2,120.4,124.6
63,100.9,105.2,109.5,113.7,118,122.3,126.6
66,102.3,106.7,111.1,115.5,119.8,124.2,128.6
69,103.8,108.2,112.7,117.1,121.6,126.1,130.5
72,105.2,109.7,114.3,118.8,123.3,127.9,132.4
75,106.5,111.2,115.8,120.4,125,129.7,134.3
78,107.9,112.6,117.3,122,126.7,131.4,136.1
81,109.2,113.9,118.7,123.5,128.3,133.1,137.9
