x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,2.3,2.6,3,3.3,3.7,4.1,4.6
1,3,3.4,3.8,4.3,4.8,5.3,5.9
2,3.8,4.3,4.8,5.4,6,6.7,7.4
3,4.5,5,5.6,6.2,6.9,7.7,8.6
4,5,5.5,6.2,6.9,7.7,8.6,9.6
5,5.4,6,6.6,7.4,8.2,9.2,10.3
6,5.7,6.3,7,7.8,8.7,9.7,10.9
7,6,6.6,7.3,8.1,9.1,10.2,11.5
8,6.2,6.9,7.6,8.4,9.4,10.6,11.9
9,6.4,7.1,7.8,8.7,9.7,10.9,12.3
10,6.6,7.3,8.1,9,10,11.2,12.7
11,6.8,7.5,8.3,9.2,10.3,11.5,13
12,6.9,7.7,8.5,9.4,10.5,11.8,13.3
13,7.1,7.8,8.7,9.6,10.7,12.1,13.6
14,7.3,8,8.8,9.8,11,12.3,13.9
15,7.4,8.2,9,10,11.2,12.6,14.2
16,7.6,8.3,9.2,10.3,11.5,12.9,14.5
17,7.7,8.5,9.4,10.5,11.7,13.1,14.9
18,7.9,8.7,9.6,10.7,11.9,13.4,15.2
19,8.1,8.9,9.8,10.9,12.2,13.7,15.5
20,8.2,9,10,11.1,12.4,13.9,15.8
21,8.4,9.2,10.2,11.3,12.6,14.2,16.1
22,8.5,9.4,10.4,11.5,12.9,14.5,16.4
23,8.7,9.5,10.6,11.7,13.1,14.8,16.7
24,8.8,9.7,10.7,11.9,13.3,15,17
27,9.2,10.1,11.2,12.5,14,15.8,17.9
30,9.6,10.6,11.7,13,14.6,16.5,18.7
33,10,11,12.2,13.6,15.2,17.2,19.6
36,10.3,11.4,12.6,14.1,15.9,17.9,20.5
39,10.7,11.8,13.1,14.7,16.5,18.7,21.3
42,11.1,12.2,13.6,15.2,17.1,19.4,22.2
45,11.4,12.6,14,15.7,17.7,20.1,23
48,11.7,13,14.5,16.2,18.3,20.8,23.8
51,12,13.3,14.9,16.7,18.9,21.5,24.6
54,12.3,13.7,15.3,17.2,19.5,22.2,25.5
57,12.7,14.1,15.8,17.8,20.2,23,26.4
60,13,14.5,16.3,18.4,20.9,23.8,27.4
63,13.3,14.9,16.8,19,21.6,24.7,28.4
66,13.7,15.3,17.3,19.6,22.3,25.5,29.5
69,14,15.7,17.8,20.2,23,26.4,30.5
72,14.3,16.1,18.2,20.7,23.7,27.3,31.5
75,14.5,16.4,18.7,21.3,24.4,28.1,32.6
78,14.8,16.8,19.1,21.8,25.1,28.9,33.6
81,15,17.1,19.5,22.4,25.8,29.8,34.6
