x,neg3,neg2,neg1,median,pos1,pos2,pos3
0,2.4,2.7,3.1,3.5,3.9,4.3,4.7
1,3.2,3.6,4.1,4.6,5.1,5.6,6.2
2,4.1,4.6,5.2,5.8,6.5,7.2,8
3,4.9,5.5,6.1,6.8,7.6,8.4,9.3
4,5.4,6,6.7,7.5,8.3,9.3,10.3
5,5.8,6.5,7.2,8,8.9,9.9,11.1
6,6.1,6.8,7.6,8.4,9.4,10.5,11.7
7,6.4,7.1,7.9,8.8,9.8,10.9,12.1
8,6.7,7.4,8.2,9.1,10.1,11.3,12.6
9,6.9,7.6,8.4,9.4,10.4,11.6,12.9
10,7.1,7.8,8.7,9.6,10.7,11.9,13.3
11,7.2,8,8.9,9.8,10.9,12.2,13.6
12,7.4,8.2,9.1,10.1,11.2,12.4,13.9
13,7.5,8.3,9.2,10.3,11.4,12.7,14.1
14,7.7,8.5,9.4,10.5,11.6,12.9,14.4
15,7.8,8.7,9.6,10.7,11.8,13.2,14.7
16,8,8.8,9.8,10.9,12.1,13.4,15
17,8.2,9,10,11.1,12.3,13.7,15.3
18,8.3,9.2,10.2,11.3,12.5,14,15.6
19,8.5,9.4,10.4,11.5,12.8,14.2,15.9
20,8.6,9.5,10.6,11.7,13,14.5,16.2
21,8.8,9.7,10.8,11.9,13.3,14.8,16.5
22,9,9.9,11,12.2,13.5,15,16.8
23,9.1,10.1,11.1,12.4,13.7,15.3,17.1
24,9.3,10.2,11.3,12.6,14,15.6,17.4
27,9.7,10.7,11.8,13.1,14.6,16.3,18.2
30,10.1,11.1,12.3,13.7,15.2,17,19
33,10.4,11.5,12.7,14.2,15.8,17.6,19.8
36,10.8,11.9,13.2,14.6,16.3,18.3,20.5
39,11.1,12.3,13.6,15.2,16.9,19,21.3
42,11.5,12.7,14.1,15.7,17.5,19.7,22.2
45,11.8,13.1,14.5,16.2,18.1,20.4,23
48,12.2,13.5,15,16.7,18.8,21.1,23.9
51,12.5,13.9,15.5,17.3,19.4,21.9,24.9
54,12.8,14.3,15.9,17.9,20.1,22.7,25.9
57,13.2,14.7,16.4,18.4,20.8,23.6,27
60,13.6,15.1,16.9,19.1,21.6,24.5,28.1
63,13.9,15.6,17.5,19.7,22.3,25.5,29.3
66,14.3,16,18,20.3,23.1,26.4,30.5
69,14.6,16.4,18.5,21,23.9,27.4,31.7
72,14.9,16.8,19,21.6,24.7,28.4,32.9
75,15.3,17.2,19.5,22.2,25.5,29.4,34.1
78,15.5,17.6,20,22.8,26.2,30.3,35.3
81,15.8,17.9,20.4,23.4,26.9,31.2,36.4
