x,neg3,neg2,neg1,median,pos1,pos2,pos3
75,7.7,8.2,8.8,9.5,10.4,11.4,12.6
76,7.8,8.4,9,9.7,10.6,11.6,12.8
77,8,8.5,9.2,9.9,10.8,11.8,13.1
78,8.1,8.7,9.3,10.1,11,12,13.3
79,8.3,8.9,9.5,10.3,11.2,12.2,13.5
80,8.5,9,9.7,10.5,11.4,12.5,13.8
81,8.6,9.2,9.9,10.7,11.6,12.7,14
82,8.8,9.4,10.1,10.9,11.8,12.9,14.3
83,9,9.6,10.3,11.1,12,13.2,14.5
84,9.2,9.8,10.5,11.3,12.2,13.4,14.8
85,9.3,10,10.7,11.5,12.5,13.6,15.1
86,9.5,10.1,10.9,11.7,12.7,13.9,15.4
87,9.7,10.3,11.1,11.9,12.9,14.1,15.6
88,9.9,10.5,11.3,12.1,13.2,14.4,15.9
89,10.1,10.7,11.5,12.4,13.4,14.7,16.2
90,10.3,10.9,11.7,12.6,13.6,14.9,16.5
91,10.4,11.1,11.9,12.8,13.9,15.2,16.8
92,10.6,11.3,12.1,13.1,14.2,15.5,17.1
93,10.8,11.5,12.4,13.3,14.4,15.8,17.4
94,11,11.8,12.6,13.5,14.7,16,17.7
95,11.2,12,12.8,13.8,15,16.4,18.1
96,11.5,12.2,13.1,14.1,15.2,16.7,18.4
97,11.7,12.4,13.3,14.3,15.5,17,18.8
98,11.9,12.7,13.6,14.6,15.8,17.3,19.1
99,12.1,12.9,13.8,14.9,16.1,17.6,19.5
100,12.3,13.1,14.1,15.1,16.4,18,19.9
101,12.5,13.4,14.3,15.4,16.7,18.3,20.2
102,12.8,13.6,14.6,15.7,17,18.6,20.6
103,13,13.8,14.8,16,17.3,19,21
104,13.2,14.1,15.1,16.3,17.7,19.3,21.4
105,13.4,14.3,15.3,16.5,18,19.7,21.8
106,13.6,14.5,15.6,16.8,18.3,20.1,22.2
107,13.8,14.8,15.9,17.1,18.6,20.4,22.6
108,14.1,15,16.1,17.4,19,20.8,23.1
109,14.3,15.3,16.4,17.8,19.3,21.2,23.6
110,14.5,15.5,16.7,18.1,19.7,21.7,24.1
111,14.7,15.8,17,18.4,20.1,22.1,24.6
112,15,16.1,17.3,18.8,20.5,22.6,25.1
113,15.2,16.3,17.6,19.1,20.9,23.1,25.7
114,15.4,16.6,17.9,19.5,21.3,23.6,26.3
115,15.7,16.9,18.3,19.9,21.8,24.1,27
116,15.9,17.2,18.6,20.3,22.3,24.7,27.6
117,16.2,17.5,18.9,20.7,22.7,25.3,28.4
118,16.4,17.7,19.3,21.1,23.2,25.9,29.1
119,16.7,18.1,19.6,21.5,23.8,26.5,29.9
120,16.9,18.4,20,22,24.3,27.1,30.7
121,17.2,18.7,20.4,22.4,24.9,27.8,31.5
122,17.5,19,20.8,22.9,25.4,28.5,32.4
123,17.7,19.3,21.2,23.4,26,29.2,33.2
124,18,19.6,21.6,23.8,26.6,29.9,34.1
125,18.3,20,22,24.3,27.2,30.7,35
126,18.5,20.3,22.4,24.8,27.8,31.4,36
127,18.8,20.6,22.8,25.3,28.4,32.2,36.9
128,19.1,20.9,23.2,25.8,29,32.9,37.8
129,19.3,21.3,23.5,26.3,29.6,33.7,38.8
130,19.6,21.6,23.9,26.8,30.2,34.4,39.7
