x,neg3,neg2,neg1,median,pos1,pos2,pos3
75,7.9,8.5,9.1,9.9,10.8,11.8,13
76,8.1,8.6,9.3,10.1,11,12,13.3
77,8.2,8.8,9.5,10.3,11.2,12.2,13.5
78,8.4,9,9.7,10.5,11.4,12.5,13.8
79,8.5,9.1,9.8,10.6,11.6,12.7,14
80,8.7,9.3,10,10.8,11.8,12.9,14.2
81,8.9,9.5,10.2,11,12,13.1,14.5
82,9,9.7,10.4,11.2,12.2,13.3,14.7
83,9.2,9.9,10.6,11.4,12.4,13.6,15
84,9.4,10,10.8,11.6,12.6,13.8,15.2
85,9.6,10.2,11,11.8,12.8,14,15.5
86,9.8,10.4,11.2,12.1,13.1,14.3,15.7
87,10,10.6,11.4,12.3,13.3,14.5,16
88,10.1,10.8,11.6,12.5,13.5,14.8,16.3
89,10.3,11,11.8,12.7,13.8,15,16.6
90,10.5,11.2,12,12.9,14,15.3,16.8
91,10.7,11.4,12.2,13.2,14.2,15.5,17.1
92,10.9,11.6,12.4,13.4,14.5,15.8,17.4
93,11.1,11.8,12.6,13.6,14.7,16.1,17.7
94,11.3,12,12.9,13.8,15,16.3,18
95,11.5,12.2,13.1,14.1,15.2,16.6,18.3
96,11.7,12.5,13.3,14.3,15.5,16.9,18.6
97,11.9,12.7,13.6,14.6,15.8,17.2,18.9
98,12.2,12.9,13.8,14.8,16.1,17.5,19.2
99,12.4,13.2,14.1,15.1,16.3,17.8,19.6
100,12.6,13.4,14.3,15.4,16.6,18.1,19.9
101,12.9,13.7,14.6,15.7,16.9,18.5,20.3
102,13.1,13.9,14.9,16,17.3,18.8,20.7
103,13.3,14.2,15.1,16.3,17.6,19.2,21.1
104,13.6,14.4,15.4,16.6,17.9,19.5,21.5
105,13.8,14.7,15.7,16.8,18.2,19.9,21.9
106,14,14.9,16,17.1,18.6,20.2,22.3
107,14.3,15.2,16.2,17.4,18.9,20.6,22.7
108,14.5,15.4,16.5,17.8,19.2,21,23.2
109,14.7,15.7,16.8,18.1,19.6,21.4,23.7
110,15,15.9,17.1,18.4,20,21.8,24.2
111,15.2,16.2,17.4,18.7,20.3,22.3,24.7
112,15.4,16.5,17.7,19.1,20.7,22.8,25.2
113,15.7,16.7,18,19.4,21.2,23.3,25.8
114,15.9,17,18.3,19.8,21.6,23.8,26.5
115,16.2,17.3,18.6,20.2,22.1,24.3,27.2
116,16.4,17.6,19,20.6,22.6,24.9,27.9
117,16.7,17.9,19.3,21,23.1,25.6,28.7
118,16.9,18.2,19.7,21.5,23.6,26.2,29.5
119,17.2,18.5,20.1,21.9,24.2,26.9,30.4
120,17.5,18.9,20.5,22.4,24.8,27.6,31.3
121,17.8,19.2,20.9,22.9,25.4,28.4,32.2
122,18,19.5,21.3,23.4,26,29.2,33.2
123,18.3,19.9,21.7,23.9,26.6,30,34.3
124,18.6,20.2,22.1,24.4,27.3,30.8,35.3
125,18.9,20.6,22.6,25,27.9,31.6,36.4
126,19.2,20.9,23,25.5,28.6,32.5,37.5
127,19.4,21.3,23.4,26,29.3,33.4,38.6
128,19.7,21.6,23.9,26.6,30,34.2,39.8
129,20,21.9,24.3,27.1,30.7,35.1,40.9
130,20.2,22.3,24.7,27.7,31.3,36,42.1
