x,neg3,neg2,neg1,median,pos1,pos2,pos3
45,1.8,2,2.2,2.3,2.6,2.8,3.1
46,2,2.1,2.3,2.5,2.8,3,3.3
47,2.1,2.3,2.5,2.7,3,3.2,3.5
48,2.2,2.4,2.7,2.9,3.2,3.5,3.8
49,2.4,2.6,2.8,3.1,3.4,3.7,4
50,2.6,2.8,3,3.3,3.6,3.9,4.3
51,2.7,3,3.2,3.5,3.8,4.2,4.6
52,2.9,3.2,3.5,3.8,4.1,4.5,5
53,3.2,3.4,3.7,4,4.4,4.8,5.3
54,3.4,3.6,4,4.3,4.7,5.2,5.7
55,3.6,3.9,4.2,4.6,5,5.5,6.1
56,3.8,4.1,4.5,4.9,5.3,5.8,6.4
57,4,4.4,4.7,5.1,5.6,6.2,6.8
58,4.3,4.6,5,5.4,5.9,6.5,7.2
59,4.5,4.8,5.2,5.7,6.2,6.8,7.6
60,4.7,5.1,5.5,6,6.5,7.2,7.9
61,4.9,5.3,5.7,6.2,6.8,7.5,8.3
62,5.1,5.5,6,6.5,7.1,7.8,8.6
63,5.3,5.7,6.2,6.8,7.4,8.1,9
64,5.6,6,6.5,7,7.7,8.4,9.3
65,5.8,6.2,6.7,7.3,7.9,8.7,9.7
66,6,6.4,6.9,7.5,8.2,9,10
67,6.1,6.6,7.1,7.7,8.4,9.3,10.3
68,6.3,6.8,7.3,8,8.7,9.5,10.6
69,6.5,7,7.5,8.2,8.9,9.8,10.9
70,6.7,7.2,7.7,8.4,9.1,10.1,11.1
71,6.9,7.4,7.9,8.6,9.4,10.3,11.4
72,7,7.5,8.1,8.8,9.6,10.5,11.7
73,7.2,7.7,8.3,9,9.8,10.8,11.9
74,7.4,7.9,8.5,9.2,10,11,12.2
75,7.5,8.1,8.7,9.4,10.2,11.2,12.4
76,7.7,8.2,8.9,9.6,10.4,11.4,12.7
77,7.9,8.4,9,9.8,10.6,11.6,12.9
78,8,8.6,9.2,9.9,10.8,11.9,13.1
79,8.2,8.7,9.4,10.1,11,12.1,13.4
80,8.3,8.9,9.6,10.3,11.2,12.3,13.6
81,8.5,9.1,9.7,10.5,11.4,12.5,13.9
82,8.7,9.3,9.9,10.7,11.6,12.8,14.1
83,8.9,9.4,10.1,10.9,11.9,13,14.4
84,9,9.6,10.3,11.1,12.1,13.2,14.6
85,9.2,9.8,10.5,11.3,12.3,13.5,14.9
86,9.4,10,10.7,11.6,12.5,13.7,15.2
87,9.6,10.2,10.9,11.8,12.8,14,15.4
88,9.8,10.4,11.1,12,13,14.2,15.7
89,9.9,10.6,11.3,12.2,13.2,14.5,16
90,10.1,10.8,11.5,12.4,13.5,14.7,16.3
91,10.3,11,11.8,12.7,13.7,15,16.6
92,10.5,11.2,12,12.9,14,15.3,16.9
93,10.7,11.4,12.2,13.1,14.2,15.6,17.2
94,10.9,11.6,12.4,13.4,14.5,15.8,17.5
95,11.1,11.8,12.7,13.6,14.8,16.1,17.8
96,11.3,12,12.9,13.9,15,16.4,18.2
97,11.5,12.3,13.1,14.1,15.3,16.8,18.5
98,11.7,12.5,13.4,14.4,15.6,17.1,18.9
99,12,12.7,13.6,14.7,15.9,17.4,19.2
100,12.2,13,13.9,14.9,16.2,17.7,19.6
