x,neg3,neg2,neg1,median,pos1,pos2,pos3
45,1.8,2,2.1,2.3,2.5,2.8,3
46,1.9,2.1,2.3,2.5,2.7,3,3.3
47,2.1,2.3,2.5,2.7,2.9,3.2,3.5
48,2.2,2.4,2.6,2.9,3.2,3.5,3.8
49,2.4,2.6,2.8,3.1,3.4,3.7,4
50,2.5,2.8,3,3.3,3.6,3.9,4.3
51,2.7,3,3.2,3.5,3.8,4.2,4.6
52,2.9,3.2,3.4,3.8,4.1,4.5,4.9
53,3.1,3.4,3.7,4,4.4,4.8,5.3
54,3.3,3.6,3.9,4.3,4.7,5.2,5.7
55,3.6,3.9,4.2,4.6,5,5.5,6.1
56,3.8,4.1,4.5,4.9,5.3,5.9,6.5
57,4,4.4,4.8,5.2,5.7,6.2,6.9
58,4.3,4.6,5,5.5,6,6.6,7.3
59,4.5,4.9,5.3,5.8,6.3,7,7.7
60,4.7,5.1,5.6,6.1,6.7,7.3,8.1
61,5,5.4,5.9,6.4,7,7.7,8.5
62,5.2,5.6,6.1,6.7,7.3,8,8.8
63,5.4,5.9,6.4,6.9,7.6,8.3,9.2
64,5.7,6.1,6.6,7.2,7.9,8.7,9.6
65,5.9,6.3,6.9,7.5,8.2,9,9.9
66,6.1,6.6,7.1,7.7,8.5,9.3,10.3
67,6.3,6.8,7.3,8,8.7,9.6,10.6
68,6.5,7,7.6,8.2,9,9.9,10.9
69,6.7,7.2,7.8,8.5,9.2,10.1,11.2
70,6.9,7.4,8,8.7,9.5,10.4,11.5
71,7.1,7.6,8.2,8.9,9.7,10.7,11.8
72,7.3,7.8,8.4,9.1,10,10.9,12.1
73,7.4,8,8.6,9.3,10.2,11.2,12.3
74,7.6,8.2,8.8,9.5,10.4,11.4,12.6
75,7.8,8.3,9,9.7,10.6,11.6,12.9
76,7.9,8.5,9.2,9.9,10.8,11.9,13.1
77,8.1,8.7,9.4,10.1,11,12.1,13.3
78,8.3,8.9,9.5,10.3,11.2,12.3,13.6
79,8.4,9,9.7,10.5,11.4,12.5,13.8
80,8.6,9.2,9.9,10.7,11.6,12.7,14.1
81,8.8,9.4,10.1,10.9,11.8,13,14.3
82,8.9,9.6,10.3,11.1,12,13.2,14.5
83,9.1,9.7,10.5,11.3,12.3,13.4,14.8
84,9.3,9.9,10.6,11.5,12.5,13.6,15
85,9.5,10.1,10.8,11.7,12.7,13.9,15.3
86,9.6,10.3,11,11.9,12.9,14.1,15.5
87,9.8,10.5,11.2,12.1,13.1,14.4,15.8
88,10,10.7,11.4,12.3,13.4,14.6,16.1
89,10.2,10.9,11.7,12.6,13.6,14.9,16.4
90,10.4,11.1,11.9,12.8,13.8,15.1,16.6
91,10.6,11.3,12.1,13,14.1,15.4,16.9
92,10.8,11.5,12.3,13.2,14.3,15.6,17.2
93,11,11.7,12.5,13.4,14.6,15.9,17.5
94,11.2,11.9,12.7,13.7,14.8,16.1,17.8
95,11.4,12.1,12.9,13.9,15.1,16.4,18.1
96,11.6,12.3,13.2,14.2,15.3,16.7,18.4
97,11.8,12.5,13.4,14.4,15.6,17,18.7
98,12,12.8,13.6,14.7,15.9,17.3,19
99,12.2,13,13.9,14.9,16.1,17.6,19.3
100,12.5,13.2,14.1,15.2,16.4,17.9,19.7
